#OTU_ID	Orwoll_BI0023_BI	Orwoll_BI0056_BI	Orwoll_BI0131_BI	Orwoll_BI0153_BI	Orwoll_BI0215_BI	Orwoll_BI0353_BI
Zotu1	7804	11136	792	676	1454	13
Zotu10	0	0	2968	890	0	0
Zotu100	0	1	242	0	0	0
Zotu101	61	9	1	55	9	148
Zotu102	36	9	6	71	66	62
Zotu103	50	70	9	19	43	83
Zotu104	40	51	21	82	126	0
Zotu105	36	2	7	68	15	115
Zotu106	0	0	0	239	0	0
Zotu107	0	2	61	0	8	182
Zotu108	8	94	2	11	154	7
Zotu109	10	0	0	145	47	38
Zotu11	416	175	152	570	93	2464
Zotu110	95	26	2	94	14	16
Zotu111	212	0	0	0	26	0
Zotu112	93	9	0	82	29	11
Zotu113	0	1	132	0	81	0
Zotu114	0	2	0	214	0	0
Zotu115	227	1	0	0	1	0
Zotu116	213	0	7	0	0	0
Zotu117	0	0	0	0	214	0
Zotu118	45	0	48	0	98	0
Zotu119	49	0	0	63	6	75
Zotu12	362	855	56	124	12	2658
Zotu120	0	0	0	142	65	0
Zotu121	5	117	1	26	1	33
Zotu122	0	41	120	18	0	0
Zotu123	151	0	30	0	0	0
Zotu124	134	16	0	4	23	9
Zotu125	50	1	4	37	57	34
Zotu126	13	0	10	0	0	161
Zotu127	159	0	0	0	0	0
Zotu128	78	23	5	13	16	47
Zotu129	129	0	46	0	0	1
Zotu13	331	158	986	1066	1358	2
Zotu130	1	0	0	0	158	0
Zotu131	155	0	0	0	0	0
Zotu132	118	0	1	3	24	0
Zotu133	137	0	0	0	0	0
Zotu134	0	134	0	0	0	0
Zotu135	133	0	0	0	0	0
Zotu136	74	4	6	4	36	18
Zotu137	0	0	135	0	0	0
Zotu138	0	0	2	8	24	117
Zotu139	22	4	21	22	32	65
Zotu14	468	226	222	826	605	658
Zotu140	142	0	0	0	0	0
Zotu141	5	86	6	0	11	12
Zotu142	0	7	0	9	9	99
Zotu143	0	124	0	0	0	0
Zotu144	136	0	0	0	0	0
Zotu145	9	4	0	65	21	33
Zotu146	0	7	2	100	0	24
Zotu147	1	18	0	0	101	0
Zotu148	0	0	30	0	102	0
Zotu149	35	0	28	35	20	0
Zotu15	2945	0	0	1	1	0
Zotu150	117	0	0	0	0	0
Zotu151	51	0	5	5	9	57
Zotu152	126	5	3	0	0	0
Zotu153	113	0	0	0	0	0
Zotu154	2	22	3	53	3	41
Zotu155	99	10	0	0	9	0
Zotu156	0	0	0	19	103	0
Zotu157	3	0	0	48	10	48
Zotu158	7	54	26	18	1	1
Zotu159	12	6	3	60	10	27
Zotu16	0	3	2633	1	0	0
Zotu160	4	10	6	52	30	1
Zotu161	0	0	0	24	81	0
Zotu162	0	0	0	104	0	0
Zotu163	64	0	14	28	0	0
Zotu164	10	8	6	37	16	23
Zotu165	102	25	14	12	26	0
Zotu166	41	25	2	3	6	14
Zotu167	2	0	0	0	53	37
Zotu168	0	0	90	0	0	0
Zotu169	7	9	23	4	43	34
Zotu17	8	9	1156	192	199	1507
Zotu170	37	7	0	0	42	0
Zotu171	29	4	0	4	0	57
Zotu172	0	0	6	59	24	0
Zotu173	24	0	52	1	0	1
Zotu174	0	84	0	0	0	0
Zotu175	0	88	0	5	2	0
Zotu176	9	0	0	83	1	0
Zotu177	0	74	0	6	0	0
Zotu178	0	0	2	3	22	61
Zotu179	72	0	0	5	0	12
Zotu18	2546	2	0	0	47	0
Zotu180	0	83	0	0	0	0
Zotu181	25	0	10	12	12	18
Zotu182	10	1	71	0	0	0
Zotu183	0	6	50	0	28	0
Zotu184	0	0	71	0	0	0
Zotu185	0	0	74	0	1	0
Zotu186	3	0	15	0	51	0
Zotu187	7	3	0	54	5	2
Zotu188	0	20	3	48	0	0
Zotu189	0	10	0	0	54	0
Zotu19	222	112	88	690	1569	1
Zotu190	60	0	0	9	0	0
Zotu191	0	0	73	0	0	0
Zotu192	15	0	1	46	28	65
Zotu193	3	5	0	54	5	6
Zotu194	0	64	0	2	8	0
Zotu195	0	0	75	0	0	0
Zotu196	66	0	1	0	0	0
Zotu197	0	3	0	4	1	59
Zotu198	0	0	0	0	0	58
Zotu199	64	0	0	0	0	0
Zotu2	59	3	13352	61	1	0
Zotu20	50	1	156	106	2008	211
Zotu200	45	1	3	14	0	0
Zotu201	0	45	0	3	14	0
Zotu202	19	0	10	16	16	7
Zotu203	42	2	0	4	19	0
Zotu204	33	2	0	5	12	7
Zotu205	0	0	9	16	0	43
Zotu206	0	0	0	0	0	66
Zotu207	11	30	1	2	15	9
Zotu208	43	1	0	5	5	0
Zotu209	0	1	12	0	54	0
Zotu21	455	210	152	182	116	1501
Zotu210	0	0	35	0	26	0
Zotu211	2	59	0	0	0	0
Zotu212	55	0	1	0	0	0
Zotu213	31	0	31	0	0	0
Zotu214	4	2	0	8	0	36
Zotu215	0	0	17	48	1	0
Zotu216	2	6	3	0	1	50
Zotu217	0	2	4	40	2	10
Zotu218	0	0	32	0	37	0
Zotu219	59	0	0	0	7	0
Zotu22	485	304	201	693	694	1
Zotu220	21	0	4	6	0	32
Zotu221	0	0	19	4	30	0
Zotu222	0	9	0	0	38	0
Zotu223	0	52	0	0	0	0
Zotu224	0	7	0	0	47	0
Zotu225	47	0	1	4	1	1
Zotu226	0	52	0	0	0	0
Zotu227	0	0	49	1	0	0
Zotu228	0	0	49	0	0	0
Zotu229	7	0	0	6	6	31
Zotu23	1	1	1837	0	0	0
Zotu230	25	28	2	0	0	0
Zotu231	0	0	45	0	0	0
Zotu232	0	0	0	14	28	3
Zotu233	2	3	0	15	5	19
Zotu234	0	0	0	41	1	1
Zotu235	14	0	2	6	0	34
