group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,Internal Rayon Parallel,1000,,,947791.0,ns,21
UniFrac Function,Internal Rayon Parallel,1000,,,2501459.0,ns,42
UniFrac Function,Internal Rayon Parallel,1000,,,3332708.0,ns,63
UniFrac Function,Internal Rayon Parallel,1000,,,4212666.0,ns,84
UniFrac Function,Internal Rayon Parallel,1000,,,4164333.0,ns,105
UniFrac Function,Internal Rayon Parallel,1000,,,5824541.0,ns,126
UniFrac Function,Internal Rayon Parallel,1000,,,7483458.0,ns,147
UniFrac Function,Internal Rayon Parallel,1000,,,8261750.0,ns,168
UniFrac Function,Internal Rayon Parallel,1000,,,10186083.0,ns,189
UniFrac Function,Internal Rayon Parallel,1000,,,10489333.0,ns,210
UniFrac Function,Internal Rayon Parallel,1000,,,9179916.0,ns,231
UniFrac Function,Internal Rayon Parallel,1000,,,13645625.0,ns,252
UniFrac Function,Internal Rayon Parallel,1000,,,13378792.0,ns,273
UniFrac Function,Internal Rayon Parallel,1000,,,14593167.0,ns,294
UniFrac Function,Internal Rayon Parallel,1000,,,15680750.0,ns,315
UniFrac Function,Internal Rayon Parallel,1000,,,16849000.0,ns,336
UniFrac Function,Internal Rayon Parallel,1000,,,16721166.0,ns,357
UniFrac Function,Internal Rayon Parallel,1000,,,19416542.0,ns,378
UniFrac Function,Internal Rayon Parallel,1000,,,20073459.0,ns,399
UniFrac Function,Internal Rayon Parallel,1000,,,21783750.0,ns,420
UniFrac Function,Internal Rayon Parallel,1000,,,22456416.0,ns,441
UniFrac Function,Internal Rayon Parallel,1000,,,24849583.0,ns,462
UniFrac Function,Internal Rayon Parallel,1000,,,25481875.0,ns,483
UniFrac Function,Internal Rayon Parallel,1000,,,25850833.0,ns,504
UniFrac Function,Internal Rayon Parallel,1000,,,26904041.0,ns,525
UniFrac Function,Internal Rayon Parallel,1000,,,25825125.0,ns,546
UniFrac Function,Internal Rayon Parallel,1000,,,26627292.0,ns,567
UniFrac Function,Internal Rayon Parallel,1000,,,30955333.0,ns,588
UniFrac Function,Internal Rayon Parallel,1000,,,30981209.0,ns,609
UniFrac Function,Internal Rayon Parallel,1000,,,30538333.0,ns,630
UniFrac Function,Internal Rayon Parallel,1000,,,31749042.0,ns,651
UniFrac Function,Internal Rayon Parallel,1000,,,33706167.0,ns,672
UniFrac Function,Internal Rayon Parallel,1000,,,36592667.0,ns,693
UniFrac Function,Internal Rayon Parallel,1000,,,34913375.0,ns,714
UniFrac Function,Internal Rayon Parallel,1000,,,38368250.0,ns,735
UniFrac Function,Internal Rayon Parallel,1000,,,39439375.0,ns,756
UniFrac Function,Internal Rayon Parallel,1000,,,41274167.0,ns,777
UniFrac Function,Internal Rayon Parallel,1000,,,40731875.0,ns,798
UniFrac Function,Internal Rayon Parallel,1000,,,40950375.0,ns,819
UniFrac Function,Internal Rayon Parallel,1000,,,43820792.0,ns,840
UniFrac Function,Internal Rayon Parallel,1000,,,44877000.0,ns,861
UniFrac Function,Internal Rayon Parallel,1000,,,45232916.0,ns,882
UniFrac Function,Internal Rayon Parallel,1000,,,45599000.0,ns,903
UniFrac Function,Internal Rayon Parallel,1000,,,49199708.0,ns,924
UniFrac Function,Internal Rayon Parallel,1000,,,49996125.0,ns,945
UniFrac Function,Internal Rayon Parallel,1000,,,50132042.0,ns,966
UniFrac Function,Internal Rayon Parallel,1000,,,49919209.0,ns,987
UniFrac Function,Internal Rayon Parallel,1000,,,51448292.0,ns,1008
UniFrac Function,Internal Rayon Parallel,1000,,,54766833.0,ns,1029
UniFrac Function,Internal Rayon Parallel,1000,,,51839292.0,ns,1050
UniFrac Function,Internal Rayon Parallel,1000,,,59174208.0,ns,1071
UniFrac Function,Internal Rayon Parallel,1000,,,58477125.0,ns,1092
UniFrac Function,Internal Rayon Parallel,1000,,,59176208.0,ns,1113
UniFrac Function,Internal Rayon Parallel,1000,,,57135959.0,ns,1134
UniFrac Function,Internal Rayon Parallel,1000,,,59833500.0,ns,1155
UniFrac Function,Internal Rayon Parallel,1000,,,62305292.0,ns,1176
UniFrac Function,Internal Rayon Parallel,1000,,,61801583.0,ns,1197
UniFrac Function,Internal Rayon Parallel,1000,,,62682792.0,ns,1218
UniFrac Function,Internal Rayon Parallel,1000,,,61219792.0,ns,1239
UniFrac Function,Internal Rayon Parallel,1000,,,64445833.0,ns,1260
UniFrac Function,Internal Rayon Parallel,1000,,,68033916.0,ns,1281
UniFrac Function,Internal Rayon Parallel,1000,,,66427041.0,ns,1302
UniFrac Function,Internal Rayon Parallel,1000,,,69121916.0,ns,1323
UniFrac Function,Internal Rayon Parallel,1000,,,72643125.0,ns,1344
UniFrac Function,Internal Rayon Parallel,1000,,,71313250.0,ns,1365
UniFrac Function,Internal Rayon Parallel,1000,,,71231750.0,ns,1386
UniFrac Function,Internal Rayon Parallel,1000,,,73389166.0,ns,1407
UniFrac Function,Internal Rayon Parallel,1000,,,72838458.0,ns,1428
UniFrac Function,Internal Rayon Parallel,1000,,,75670417.0,ns,1449
UniFrac Function,Internal Rayon Parallel,1000,,,76641250.0,ns,1470
UniFrac Function,Internal Rayon Parallel,1000,,,76055542.0,ns,1491
UniFrac Function,Internal Rayon Parallel,1000,,,77206750.0,ns,1512
UniFrac Function,Internal Rayon Parallel,1000,,,78991875.0,ns,1533
UniFrac Function,Internal Rayon Parallel,1000,,,79217833.0,ns,1554
UniFrac Function,Internal Rayon Parallel,1000,,,78998875.0,ns,1575
UniFrac Function,Internal Rayon Parallel,1000,,,83168125.0,ns,1596
UniFrac Function,Internal Rayon Parallel,1000,,,81822833.0,ns,1617
UniFrac Function,Internal Rayon Parallel,1000,,,84111542.0,ns,1638
UniFrac Function,Internal Rayon Parallel,1000,,,86931334.0,ns,1659
UniFrac Function,Internal Rayon Parallel,1000,,,85560083.0,ns,1680
UniFrac Function,Internal Rayon Parallel,1000,,,86380250.0,ns,1701
UniFrac Function,Internal Rayon Parallel,1000,,,87648958.0,ns,1722
UniFrac Function,Internal Rayon Parallel,1000,,,88348500.0,ns,1743
UniFrac Function,Internal Rayon Parallel,1000,,,90963625.0,ns,1764
UniFrac Function,Internal Rayon Parallel,1000,,,93130833.0,ns,1785
UniFrac Function,Internal Rayon Parallel,1000,,,95856250.0,ns,1806
UniFrac Function,Internal Rayon Parallel,1000,,,94061167.0,ns,1827
UniFrac Function,Internal Rayon Parallel,1000,,,96458084.0,ns,1848
UniFrac Function,Internal Rayon Parallel,1000,,,95158000.0,ns,1869
UniFrac Function,Internal Rayon Parallel,1000,,,97634875.0,ns,1890
UniFrac Function,Internal Rayon Parallel,1000,,,100775125.0,ns,1911
UniFrac Function,Internal Rayon Parallel,1000,,,100046917.0,ns,1932
UniFrac Function,Internal Rayon Parallel,1000,,,102354209.0,ns,1953
UniFrac Function,Internal Rayon Parallel,1000,,,103656125.0,ns,1974
UniFrac Function,Internal Rayon Parallel,1000,,,105012084.0,ns,1995
UniFrac Function,Internal Rayon Parallel,1000,,,104477584.0,ns,2016
UniFrac Function,Internal Rayon Parallel,1000,,,105536500.0,ns,2037
UniFrac Function,Internal Rayon Parallel,1000,,,105437875.0,ns,2058
UniFrac Function,Internal Rayon Parallel,1000,,,106903709.0,ns,2079
UniFrac Function,Internal Rayon Parallel,1000,,,111644833.0,ns,2100
