group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
UniFrac Function,NDarray vectorized,1000,,,1031292.0,ns,2736
UniFrac Function,NDarray vectorized,1000,,,1994667.0,ns,5472
UniFrac Function,NDarray vectorized,1000,,,3121458.0,ns,8208
UniFrac Function,NDarray vectorized,1000,,,4070583.0,ns,10944
UniFrac Function,NDarray vectorized,1000,,,5113209.0,ns,13680
UniFrac Function,NDarray vectorized,1000,,,6295667.0,ns,16416
UniFrac Function,NDarray vectorized,1000,,,7075125.0,ns,19152
UniFrac Function,NDarray vectorized,1000,,,8097500.0,ns,21888
UniFrac Function,NDarray vectorized,1000,,,9043583.0,ns,24624
UniFrac Function,NDarray vectorized,1000,,,9986459.0,ns,27360
UniFrac Function,NDarray vectorized,1000,,,10998792.0,ns,30096
UniFrac Function,NDarray vectorized,1000,,,12179917.0,ns,32832
UniFrac Function,NDarray vectorized,1000,,,13171459.0,ns,35568
UniFrac Function,NDarray vectorized,1000,,,14075125.0,ns,38304
UniFrac Function,NDarray vectorized,1000,,,14954084.0,ns,41040
UniFrac Function,NDarray vectorized,1000,,,15882167.0,ns,43776
UniFrac Function,NDarray vectorized,1000,,,16846417.0,ns,46512
UniFrac Function,NDarray vectorized,1000,,,17764625.0,ns,49248
UniFrac Function,NDarray vectorized,1000,,,18794250.0,ns,51984
UniFrac Function,NDarray vectorized,1000,,,19783375.0,ns,54720
UniFrac Function,NDarray vectorized,1000,,,20716834.0,ns,57456
UniFrac Function,NDarray vectorized,1000,,,21677125.0,ns,60192
UniFrac Function,NDarray vectorized,1000,,,22655959.0,ns,62928
UniFrac Function,NDarray vectorized,1000,,,23658250.0,ns,65664
UniFrac Function,NDarray vectorized,1000,,,24626959.0,ns,68400
UniFrac Function,NDarray vectorized,1000,,,25617042.0,ns,71136
UniFrac Function,NDarray vectorized,1000,,,26622792.0,ns,73872
UniFrac Function,NDarray vectorized,1000,,,27605917.0,ns,76608
UniFrac Function,NDarray vectorized,1000,,,28568709.0,ns,79344
UniFrac Function,NDarray vectorized,1000,,,29551958.0,ns,82080
UniFrac Function,NDarray vectorized,1000,,,30553667.0,ns,84816
UniFrac Function,NDarray vectorized,1000,,,31580916.0,ns,87552
UniFrac Function,NDarray vectorized,1000,,,32510833.0,ns,90288
UniFrac Function,NDarray vectorized,1000,,,33510625.0,ns,93024
UniFrac Function,NDarray vectorized,1000,,,34502125.0,ns,95760
UniFrac Function,NDarray vectorized,1000,,,35471917.0,ns,98496
UniFrac Function,NDarray vectorized,1000,,,36461917.0,ns,101232
UniFrac Function,NDarray vectorized,1000,,,37429583.0,ns,103968
UniFrac Function,NDarray vectorized,1000,,,38419916.0,ns,106704
UniFrac Function,NDarray vectorized,1000,,,39456375.0,ns,109440
UniFrac Function,NDarray vectorized,1000,,,40393458.0,ns,112176
UniFrac Function,NDarray vectorized,1000,,,41402000.0,ns,114912
UniFrac Function,NDarray vectorized,1000,,,42591000.0,ns,117648
UniFrac Function,NDarray vectorized,1000,,,43500500.0,ns,120384
UniFrac Function,NDarray vectorized,1000,,,44464125.0,ns,123120
UniFrac Function,NDarray vectorized,1000,,,46195333.0,ns,125856
UniFrac Function,NDarray vectorized,1000,,,47589416.0,ns,128592
UniFrac Function,NDarray vectorized,1000,,,48250041.0,ns,131328
UniFrac Function,NDarray vectorized,1000,,,48892375.0,ns,134064
UniFrac Function,NDarray vectorized,1000,,,49427833.0,ns,136800
UniFrac Function,NDarray vectorized,1000,,,50421875.0,ns,139536
UniFrac Function,NDarray vectorized,1000,,,51323208.0,ns,142272
UniFrac Function,NDarray vectorized,1000,,,52302250.0,ns,145008
UniFrac Function,NDarray vectorized,1000,,,53372042.0,ns,147744
UniFrac Function,NDarray vectorized,1000,,,54315833.0,ns,150480
UniFrac Function,NDarray vectorized,1000,,,55291875.0,ns,153216
UniFrac Function,NDarray vectorized,1000,,,56158959.0,ns,155952
UniFrac Function,NDarray vectorized,1000,,,57182417.0,ns,158688
UniFrac Function,NDarray vectorized,1000,,,58143792.0,ns,161424
UniFrac Function,NDarray vectorized,1000,,,59262583.0,ns,164160
UniFrac Function,NDarray vectorized,1000,,,60141708.0,ns,166896
UniFrac Function,NDarray vectorized,1000,,,61093334.0,ns,169632
UniFrac Function,NDarray vectorized,1000,,,62105625.0,ns,172368
UniFrac Function,NDarray vectorized,1000,,,63110334.0,ns,175104
UniFrac Function,NDarray vectorized,1000,,,64430000.0,ns,177840
UniFrac Function,NDarray vectorized,1000,,,66769459.0,ns,180576
UniFrac Function,NDarray vectorized,1000,,,67421375.0,ns,183312
UniFrac Function,NDarray vectorized,1000,,,67679458.0,ns,186048
UniFrac Function,NDarray vectorized,1000,,,68408083.0,ns,188784
UniFrac Function,NDarray vectorized,1000,,,69223750.0,ns,191520
UniFrac Function,NDarray vectorized,1000,,,70006250.0,ns,194256
UniFrac Function,NDarray vectorized,1000,,,71002459.0,ns,196992
UniFrac Function,NDarray vectorized,1000,,,72038459.0,ns,199728
UniFrac Function,NDarray vectorized,1000,,,72927792.0,ns,202464
UniFrac Function,NDarray vectorized,1000,,,73951417.0,ns,205200
UniFrac Function,NDarray vectorized,1000,,,74878792.0,ns,207936
UniFrac Function,NDarray vectorized,1000,,,75860542.0,ns,210672
UniFrac Function,NDarray vectorized,1000,,,77000167.0,ns,213408
UniFrac Function,NDarray vectorized,1000,,,77831625.0,ns,216144
UniFrac Function,NDarray vectorized,1000,,,79105542.0,ns,218880
UniFrac Function,NDarray vectorized,1000,,,82015000.0,ns,221616
UniFrac Function,NDarray vectorized,1000,,,82142833.0,ns,224352
UniFrac Function,NDarray vectorized,1000,,,82310291.0,ns,227088
UniFrac Function,NDarray vectorized,1000,,,82941458.0,ns,229824
UniFrac Function,NDarray vectorized,1000,,,83790042.0,ns,232560
UniFrac Function,NDarray vectorized,1000,,,84831084.0,ns,235296
UniFrac Function,NDarray vectorized,1000,,,85976875.0,ns,238032
UniFrac Function,NDarray vectorized,1000,,,86685417.0,ns,240768
UniFrac Function,NDarray vectorized,1000,,,87728792.0,ns,243504
UniFrac Function,NDarray vectorized,1000,,,88978167.0,ns,246240
UniFrac Function,NDarray vectorized,1000,,,89911916.0,ns,248976
UniFrac Function,NDarray vectorized,1000,,,90929416.0,ns,251712
UniFrac Function,NDarray vectorized,1000,,,92272625.0,ns,254448
UniFrac Function,NDarray vectorized,1000,,,95163542.0,ns,257184
UniFrac Function,NDarray vectorized,1000,,,94397500.0,ns,259920
UniFrac Function,NDarray vectorized,1000,,,94934166.0,ns,262656
UniFrac Function,NDarray vectorized,1000,,,95640000.0,ns,265392
UniFrac Function,NDarray vectorized,1000,,,96614667.0,ns,268128
UniFrac Function,NDarray vectorized,1000,,,97557542.0,ns,270864
UniFrac Function,NDarray vectorized,1000,,,98536917.0,ns,273600
